question,answer
"What is the function of the ACPTR routine?","Input byte from serial port"
"What is the address of the CHKIN routine?","$FFC6"
"What is the function of the CHRIN routine?","Input character from channel"
"What is the address of the CIOUT routine?","$FFA8"
"What is the function of the CINT routine?","Initialize screen editor"
"What is the address of the CLALL routine?","$FFE7"
"What is the function of the CLOSE routine?","Close a specified logical file"
"What is the address of the CLRCHN routine?","$FFCC"
"What is the function of the GETIN routine?","Get character from keyboard queue"
"What is the address of the IOBASE routine?","$FFF3"
"What is the function of the IOINIT routine?","Initialize input/output"
"What is the address of the LISTEN routine?","$FFB1"
"What is the function of the LOAD routine?","Load RAM from a device"
"What is the address of the MEMBOT routine?","$FF9C"
"What is the function of the MEMTOP routine?","Read/set the top of memory"
"What is the address of the OPEN routine?","$FFC0"
"What is the function of the PLOT routine?","Read/set X,Y cursor position"
"What is the address of the RAMTAS routine?","$FF87"
"What is the function of the RDTIM routine?","Read real time clock"
"What is the address of the READST routine?","$FFB7"
"What is the function of the RESTOR routine?","Restore default I/O vectors"
"What is the address of the SAVE routine?","$FFD8"
"What is the function of the SCNKEY routine?","Scan keyboard"
"What is the address of the SCREEN routine?","$FFED"
"What is the function of the SECOND routine?","Send secondary address after LISTEN"
"What is the address of the SETLFS routine?","$FFBA"
"What is the function of the SETMSG routine?","Control KERNAL messages"
